0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:08:16 +0530] "GET /ToDoProject/htmlpages/SideNavBar.html HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:08:16 +0530] "GET /ToDoProject/getUser HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:08:16 +0530] "GET /ToDoProject/note/getLabelAllLabels HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:08:16 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 13819
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:08:19 +0530] "GET /ToDoProject/getUser HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:08:19 +0530] "GET /ToDoProject/note/getLabelAllLabels HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:08:19 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 13819
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:15:20 +0530] "GET /ToDoProject/ HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:15:20 +0530] "GET /ToDoProject/bower_components/angular-base64/angular-base64.min.js HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:15:20 +0530] "GET /ToDoProject/bower_components/ng-file-upload/ng-file-upload.min.js HTTP/1.1" 200 37495
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:15:20 +0530] "GET /ToDoProject/controller/loginController.js HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:15:20 +0530] "GET /ToDoProject/css/login.css HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:15:20 +0530] "GET /ToDoProject/bower_components/angular-base64-upload/dist/angular-base64-upload.min.js HTTP/1.1" 200 3563
